,aqi,city,clouds_all,components_co,components_nh3,components_no,components_no2,components_o3,components_pm10,components_pm2_5,components_so2,dt,feels_like,humidity,lat,lon,pressure,sunrise,sunset,temp,temp_max,temp_min,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed,dt_pt
74,1.0,San Bruno,1.0,161.89,0.05,0.0,1.25,53.64,3.47,1.6,0.89,1622785371.0,287.6,84.0,37.6305,-122.4111,1012.0,1622724552.0,1622777212.0,287.88,292.46,285.12,10000.0,clear sky,01n,800.0,Clear,330.0,5.14,2021-06-03 22:50:14.437531
75,1.0,San Carlos,99.0,297.07,0.9,0.07,2.31,4.56,4.86,3.19,0.05,1622785374.0,298.51,82.0,9.6612,-68.5827,1011.0,1622801583.0,1622847161.0,297.84,297.84,297.84,10000.0,overcast clouds,04n,804.0,Clouds,320.0,1.07,2021-06-03 22:50:14.437531
76,1.0,San Francisco,1.0,161.89,0.05,0.0,1.25,53.64,3.47,1.6,0.89,1622784964.0,287.4,83.0,37.7749,-122.4194,1011.0,1622724529.0,1622777239.0,287.72,292.81,285.05,10000.0,clear sky,01n,800.0,Clear,229.0,0.89,2021-06-03 22:50:14.437531
77,1.0,San Jose,1.0,206.95,0.76,0.0,14.4,38.27,4.41,2.02,2.56,1622785100.0,288.98,71.0,37.3394,-121.895,1012.0,1622724478.0,1622777038.0,289.44,292.75,284.05,10000.0,clear sky,01n,800.0,Clear,360.0,2.06,2021-06-03 22:50:14.437531
78,1.0,San Leandro,20.0,247.0,0.86,0.05,21.94,25.75,6.79,3.12,2.24,1622785185.0,287.96,80.0,37.7249,-122.1561,1011.0,1622724475.0,1622777167.0,288.3,293.15,285.05,10000.0,few clouds,02n,801.0,Clouds,300.0,3.09,2021-06-03 22:50:14.437531
79,1.0,San Mateo,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785384.0,284.8,79.0,37.4499,-122.3511,1007.0,1622724569.0,1622777167.0,285.45,289.44,281.16,10000.0,mist,50n,701.0,Mist,250.0,1.91,2021-06-03 22:50:14.437531
80,1.0,San Pablo,84.0,340.46,1.84,0.4,9.34,31.11,6.09,3.77,6.97,1622785387.0,313.32,80.0,14.0669,121.3258,1008.0,1622755541.0,1622802036.0,306.32,306.44,300.79,8568.0,broken clouds,04d,803.0,Clouds,296.0,1.09,2021-06-03 22:50:14.437531
81,1.0,San Rafael,69.0,200.27,0.19,0.0,0.62,29.68,0.72,0.5,0.14,1622785390.0,285.95,45.0,-34.6177,-68.3301,1006.0,1622806422.0,1622842201.0,287.3,287.3,287.3,10000.0,broken clouds,04n,803.0,Clouds,189.0,2.87,2021-06-03 22:50:14.437531
82,1.0,San Ramon,1.0,223.64,0.91,0.0,16.79,31.83,8.18,3.06,2.3,1622785392.0,287.28,75.0,37.7799,-121.978,1011.0,1622724423.0,1622777134.0,287.8,292.42,284.18,10000.0,clear sky,01n,800.0,Clear,211.0,2.82,2021-06-03 22:50:14.437531
83,1.0,Santa Clara,1.0,191.93,0.49,0.0,1.19,27.18,7.19,4.89,0.75,1622784841.0,298.66,83.0,22.4,-79.9667,1018.0,1622802910.0,1622851298.0,297.96,297.96,296.58,9000.0,clear sky,01n,800.0,Clear,112.0,2.77,2021-06-03 22:50:14.437531
84,1.0,Santa Rosa,100.0,323.77,1.39,0.32,4.58,22.35,2.98,2.12,3.73,1622785277.0,311.77,59.0,14.3122,121.1114,1007.0,1622755566.0,1622802114.0,305.93,307.09,301.43,10000.0,overcast clouds,04d,804.0,Clouds,274.0,5.45,2021-06-03 22:50:14.437531
